id,R-ids,datasets,expected_reaction,wrong_reactions,reaction
0,['golden_dataset_1'],['golden_dataset'],CC(=O)CSCC=C.NC(C)C(O)C=C.[O]>>C(=CCSCC(C)=O)C(O)C(N)C.CC=O,[],[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9]
4,['golden_dataset_11'],['golden_dataset'],C(CCC=C)C.CC(=O)C=C.[O]>>C(CCC=CC(C)=O)C.CC=O,[],[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6]
6,['golden_dataset_16'],['golden_dataset'],[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[OH2:27]>>CCOP(=O)(O)OCC.CCO.[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1],['C=CCOC(C(=O)OCC)P(=O)(OCC)OCC.O=Cc1ccccc1.O>>C=CCC(C(=O)C(=O)O)c1ccccc1'],[CH2:22]([CH3:23])[O:21][P:19]([O:24][CH2:25][CH3:26])(=[O:20])[CH:13]([C:11]([O:10][CH2:15][CH3:2])=[O:12])[O:16][CH2:1][CH:17]=[CH2:18].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:14].[OH2:27]>>[CH:17]([CH2:18][CH:3]([C:13]([C:11]([OH:27])=[O:12])=[O:16])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)=[CH2:1]
15,['Jaworski_320'],['Jaworski'],COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C1OC(C)(C)OC1=O.NO.O>>COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C(O)C(=O)NO.CC(C)=O.O,[],COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C1OC(C)(C)OC1=O.NO>>COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C(O)C(=O)NO
16,['golden_dataset_34'],['golden_dataset'],,['O=C(OO)c1cccc(Cl)c1.OCc1ccco1>>O=C1C=CC(O)OC1'],[C:9]([C:10]1=[CH:11][CH:12]=[CH:13][C:14](=[CH:16]1)[Cl:15])(=[O:8])[O:17][OH:18].[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH2:2][OH:1]>>[CH:6]1([O:1][CH2:2][C:3]([CH:4]=[CH:5]1)=[O:7])[OH:18]
20,['golden_dataset_42'],['golden_dataset'],C=CCI.[O].CC(C)(C)OC(NC(C(OC)=O)CCSC)=O>>OCI.CC(C)(C)OC(NC(C(OC)=O)CCSCC=C)=O,[],[CH2:21]=[CH:20][CH2:19][I:18].[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH3:9])=[O:12]>>[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH2:19][CH:20]=[CH2:21])=[O:12]
21,['golden_dataset_44'],['golden_dataset'],C1OC2(CCCCC2)OCC1(CC=C)[N+](=O)[O-].C=CC(OC)=O.[O]>>O1CC(COC12CCCCC2)([N+]([O-])=O)CC=CC(=O)OC.CC=O,[],[CH2:8]1[O:9][C:10]2([CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[O:16][CH2:17][C:4]1([CH2:5][CH:6]=[CH2:7])[N+:2](=[O:3])[O-:1].[CH2:23]=[CH:22][C:20]([O:19][CH3:18])=[O:21]>>[O:9]1[CH2:8][C:4]([CH2:17][O:16][C:10]12[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)([N+:2]([O-:1])=[O:3])[CH2:5][CH:6]=[CH:22][C:20](=[O:21])[O:19][CH3:18]
27,['Jaworski_138'],['Jaworski'],N.CC(C)(C)N(CC([O-])=O)C(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O.[H+]>>OC(=O)CNC(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O.CC(C)(C)N,[],CC(C)(C)N(CC([O-])=O)C(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O>>OC(=O)CNC(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O
42,['Jaworski_231'],['Jaworski'],,['COC(=O)c1nn(CCN=[N+]=[N-])c(C(=O)OC)c1OCc1ccccc1>>COC(=O)c1nn2c(c1OCc1ccccc1)C(=O)NCC2'],COC(=O)c1nn(CCN=[N+]=[N-])c(C(=O)OC)c1OCc1ccccc1>>COC(=O)c1nn2CCNC(=O)c2c1OCc1ccccc1
52,['Jaworski_276'],['Jaworski'],[H].[H].[H].[H].[H].[H].CCCC(CC(=O)OC)C[N+]([O-])=O>>O.O.CCCC1CNC(=O)C1.CO,[],CCCC(CC(=O)OC)C[N+]([O-])=O>>CCCC1CNC(=O)C1
